Geneid	SRR7821918	SRR7821919	SRR7821920	SRR7821921	SRR7821922	SRR7821923	SRR7821924	SRR7821925	SRR7821927	SRR7821937	SRR7821938	SRR7821939	SRR7821940	SRR7821941	SRR7821942
ENSMUSG00000104478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102135	8	7	4	10	7	18	13	20	6	8	28	10	11	7	18
ENSMUSG00000103282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101097	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000100764	1	3	8	6	9	5	9	13	12	6	3	19	10	10	8
ENSMUSG00000102534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000102213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100480	8	19	8	22	30	30	20	65	39	20	13	49	10	9	23
ENSMUSG00000089037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100025	6	3	4	1	2	0	5	0	2	0	1	0	2	1	3
ENSMUSG00000051285	5589	5443	5475	6082	5131	1752	6478	3244	1925	6607	2894	7624	4813	5442	6615
ENSMUSG00000098201	0	3	0	0	0	0	0	0	1	0	2	1	0	0	4
ENSMUSG00000103509	75	191	229	190	166	13	229	43	49	25	19	179	74	104	114
ENSMUSG00000048538	172	121	66	82	84	115	211	103	55	177	101	40	28	30	25
ENSMUSG00000103709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097797	6	13	2	4	4	10	21	8	20	25	16	22	17	14	19
ENSMUSG00000103498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103067	0	0	0	0	0	0	0	2	0	8	0	2	0	0	0
ENSMUSG00000102320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104226	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
